TOP.691e27c8.0001abfc	START
TOP.691e29c9.000b2987	user_options->separator	:
TOP.691e29c9.000b2987	user_options->limit	0
TOP.691e29c9.000b2987	user_options->skip	0
TOP.691e29c9.000b2987	user_options->attack_mode	3
TOP.691e29c9.000b2987	user_options->backend_devices_virtmulti	1
TOP.691e29c9.000b2987	user_options->backend_devices_virthost	1
TOP.691e29c9.000b2987	user_options->backend_devices_keepfree	0
TOP.691e29c9.000b2987	user_options->benchmark	0
TOP.691e29c9.000b2987	user_options->benchmark_all	0
TOP.691e29c9.000b2987	user_options->benchmark_max	99999
TOP.691e29c9.000b2987	user_options->benchmark_min	0
TOP.691e29c9.000b2987	user_options->bitmap_max	18
TOP.691e29c9.000b2987	user_options->bitmap_min	16
TOP.691e29c9.000b2987	user_options->debug_mode	0
TOP.691e29c9.000b2987	user_options->dynamic_x	0
TOP.691e29c9.000b2987	user_options->hash_info	0
TOP.691e29c9.000b2987	user_options->force	0
TOP.691e29c9.000b2987	user_options->hwmon	1
TOP.691e29c9.000b2987	user_options->hwmon_temp_abort	90
TOP.691e29c9.000b2987	user_options->hash_mode	0
TOP.691e29c9.000b2987	user_options->hex_charset	0
TOP.691e29c9.000b2987	user_options->hex_salt	0
TOP.691e29c9.000b2987	user_options->hex_wordlist	0
TOP.691e29c9.000b2987	user_options->hook_threads	8
TOP.691e29c9.000b2987	user_options->identify	0
TOP.691e29c9.000b2987	user_options->increment	0
TOP.691e29c9.000b2987	user_options->increment_max	256
TOP.691e29c9.000b2987	user_options->increment_min	1
TOP.691e29c9.000b2987	user_options->keep_guessing	0
TOP.691e29c9.000b2987	user_options->kernel_accel	0
TOP.691e29c9.000b2987	user_options->kernel_loops	0
TOP.691e29c9.000b2987	user_options->kernel_threads	0
TOP.691e29c9.000b2987	user_options->keyspace	0
TOP.691e29c9.000b2987	user_options->total_candidates	0
TOP.691e29c9.000b2987	user_options->left	0
TOP.691e29c9.000b2987	user_options->logfile	1
TOP.691e29c9.000b2987	user_options->loopback	0
TOP.691e29c9.000b2987	user_options->machine_readable	0
TOP.691e29c9.000b2987	user_options->markov_classic	0
TOP.691e29c9.000b2987	user_options->markov	1
TOP.691e29c9.000b2987	user_options->markov_inverse	0
TOP.691e29c9.000b2987	user_options->markov_threshold	256
TOP.691e29c9.000b2987	user_options->metal_compiler_runtime	120
TOP.691e29c9.000b2987	user_options->multiply_accel	1
TOP.691e29c9.000b2987	user_options->backend_info	0
TOP.691e29c9.000b2987	user_options->backend_vector_width	0
TOP.691e29c9.000b2987	user_options->optimized_kernel	1
TOP.691e29c9.000b2987	user_options->outfile_autohex	1
TOP.691e29c9.000b2987	user_options->outfile_check_timer	5
TOP.691e29c9.000b2987	user_options->outfile_format	3
TOP.691e29c9.000b2987	user_options->outfile_json	0
TOP.691e29c9.000b2987	user_options->wordlist_autohex	1
TOP.691e29c9.000b2987	user_options->potfile	1
TOP.691e29c9.000b2987	user_options->progress_only	0
TOP.691e29c9.000b2987	user_options->quiet	0
TOP.691e29c9.000b2987	user_options->remove	0
TOP.691e29c9.000b2987	user_options->remove_timer	60
TOP.691e29c9.000b2987	user_options->restore	0
TOP.691e29c9.000b2987	user_options->restore_enable	1
TOP.691e29c9.000b2987	user_options->restore_timer	1
TOP.691e29c9.000b2987	user_options->rp_files_cnt	0
TOP.691e29c9.000b2987	user_options->rp_gen	0
TOP.691e29c9.000b2987	user_options->rp_gen_func_max	4
TOP.691e29c9.000b2987	user_options->rp_gen_func_min	1
TOP.691e29c9.000b2987	user_options->rp_gen_seed	0
TOP.691e29c9.000b2987	user_options->runtime	0
TOP.691e29c9.000b2987	user_options->scrypt_tmto	0
TOP.691e29c9.000b2987	user_options->segment_size	33554432
TOP.691e29c9.000b2987	user_options->self_test	1
TOP.691e29c9.000b2987	user_options->slow_candidates	0
TOP.691e29c9.000b2987	user_options->show	0
TOP.691e29c9.000b2987	user_options->speed_only	0
TOP.691e29c9.000b2987	user_options->spin_damp	0
TOP.691e29c9.000b2987	user_options->status	0
TOP.691e29c9.000b2987	user_options->status_json	0
TOP.691e29c9.000b2987	user_options->status_timer	10
TOP.691e29c9.000b2987	user_options->stdout_flag	0
TOP.691e29c9.000b2987	user_options->usage	0
TOP.691e29c9.000b2987	user_options->username	0
TOP.691e29c9.000b2987	user_options->veracrypt_pim_start	485
TOP.691e29c9.000b2987	user_options->veracrypt_pim_stop	485
TOP.691e29c9.000b2987	user_options->version	0
TOP.691e29c9.000b2987	user_options->workload_profile	2
TOP.691e29c9.000b2987	user_options->brain_client	0
TOP.691e29c9.000b2987	user_options->brain_client_features	2
TOP.691e29c9.000b2987	user_options->brain_server	0
TOP.691e29c9.000b2987	user_options->brain_server_timer	300
TOP.691e29c9.000b2987	user_options->brain_port	6863
TOP.691e29c9.000b2987	user_options->brain_session	0
TOP.691e2aa5.00031e2d	START
TOP.691e2aa5.00031e2d	folder_config->cwd	C:\Users\Иван\hashcat-7.1.2
TOP.691e2aa5.00031e2d	folder_config->install_dir	.
TOP.691e2aa5.00031e2d	folder_config->profile_dir	.
TOP.691e2aa5.00031e2d	folder_config->session_dir	.
TOP.691e2aa5.00031e2d	folder_config->shared_dir	.
TOP.691e2aa5.00031e2d	user_options->encoding_from	utf-8
TOP.691e2aa5.00031e2d	user_options->encoding_to	utf-8
TOP.691e2aa5.00031e2d	user_options->rule_buf_l	:
TOP.691e2aa5.00031e2d	user_options->rule_buf_r	:
TOP.691e2aa5.00031e2d	user_options->session	hashcat
TOP.691e2aa5.00031e2d	user_options->separator	:
TOP.691e2aa5.00031e2d	user_options->limit	0
TOP.691e2aa5.00031e2d	user_options->skip	0
TOP.691e2aa5.00031e2d	user_options->attack_mode	3
TOP.691e2aa5.00031e2d	user_options->backend_devices_virtmulti	1
TOP.691e2aa5.00031e2d	user_options->backend_devices_virthost	1
TOP.691e2aa5.00031e2d	user_options->backend_devices_keepfree	0
TOP.691e2aa5.00031e2d	user_options->benchmark	0
TOP.691e2aa5.00031e2d	user_options->benchmark_all	0
TOP.691e2aa5.00031e2d	user_options->benchmark_max	99999
TOP.691e2aa5.00031e2d	user_options->benchmark_min	0
TOP.691e2aa5.00031e2d	user_options->bitmap_max	18
TOP.691e2aa5.00031e2d	user_options->bitmap_min	16
TOP.691e2aa5.00031e2d	user_options->debug_mode	0
TOP.691e2aa5.00031e2d	user_options->dynamic_x	0
TOP.691e2aa5.00031e2d	user_options->hash_info	0
TOP.691e2aa5.00031e2d	user_options->force	0
TOP.691e2aa5.00031e2d	user_options->hwmon	1
TOP.691e2aa5.00031e2d	user_options->hwmon_temp_abort	90
TOP.691e2aa5.00031e2d	user_options->hash_mode	20
TOP.691e2aa5.00031e2d	user_options->hex_charset	0
TOP.691e2aa5.00031e2d	user_options->hex_salt	0
TOP.691e2aa5.00031e2d	user_options->hex_wordlist	0
TOP.691e2aa5.00031e2d	user_options->hook_threads	8
TOP.691e2aa5.00031e2d	user_options->identify	0
TOP.691e2aa5.00031e2d	user_options->increment	0
TOP.691e2aa5.00031e2d	user_options->increment_max	256
TOP.691e2aa5.00031e2d	user_options->increment_min	1
TOP.691e2aa5.00031e2d	user_options->keep_guessing	0
TOP.691e2aa5.00031e2d	user_options->kernel_accel	0
TOP.691e2aa5.00031e2d	user_options->kernel_loops	0
TOP.691e2aa5.00031e2d	user_options->kernel_threads	0
TOP.691e2aa5.00031e2d	user_options->keyspace	0
TOP.691e2aa5.00031e2d	user_options->total_candidates	0
TOP.691e2aa5.00031e2d	user_options->left	0
TOP.691e2aa5.00031e2d	user_options->logfile	1
TOP.691e2aa5.00031e2d	user_options->loopback	0
TOP.691e2aa5.00031e2d	user_options->machine_readable	0
TOP.691e2aa5.00031e2d	user_options->markov_classic	0
TOP.691e2aa5.00031e2d	user_options->markov	1
TOP.691e2aa5.00031e2d	user_options->markov_inverse	0
TOP.691e2aa5.00031e2d	user_options->markov_threshold	256
TOP.691e2aa5.00031e2d	user_options->metal_compiler_runtime	120
TOP.691e2aa5.00031e2d	user_options->multiply_accel	1
TOP.691e2aa5.00031e2d	user_options->backend_info	0
TOP.691e2aa5.00031e2d	user_options->backend_vector_width	0
TOP.691e2aa5.00031e2d	user_options->optimized_kernel	1
TOP.691e2aa5.00031e2d	user_options->outfile_autohex	1
TOP.691e2aa5.00031e2d	user_options->outfile_check_timer	5
TOP.691e2aa5.00031e2d	user_options->outfile_format	3
TOP.691e2aa5.00031e2d	user_options->outfile_json	0
TOP.691e2aa5.00031e2d	user_options->wordlist_autohex	1
TOP.691e2aa5.00031e2d	user_options->potfile	1
TOP.691e2aa5.00031e2d	user_options->progress_only	0
TOP.691e2aa5.00031e2d	user_options->quiet	0
TOP.691e2aa5.00031e2d	user_options->remove	0
TOP.691e2aa5.00031e2d	user_options->remove_timer	60
TOP.691e2aa5.00031e2d	user_options->restore	0
TOP.691e2aa5.00031e2d	user_options->restore_enable	1
TOP.691e2aa5.00031e2d	user_options->restore_timer	1
TOP.691e2aa5.00031e2d	user_options->rp_files_cnt	0
TOP.691e2aa5.00031e2d	user_options->rp_gen	0
TOP.691e2aa5.00031e2d	user_options->rp_gen_func_max	4
TOP.691e2aa5.00031e2d	user_options->rp_gen_func_min	1
TOP.691e2aa5.00031e2d	user_options->rp_gen_seed	0
TOP.691e2aa5.00031e2d	user_options->runtime	3600
TOP.691e2aa5.00031e2d	user_options->scrypt_tmto	0
TOP.691e2aa5.00031e2d	user_options->segment_size	33554432
TOP.691e2aa5.00031e2d	user_options->self_test	1
TOP.691e2aa5.00031e2d	user_options->slow_candidates	0
TOP.691e2aa5.00031e2d	user_options->show	0
TOP.691e2aa5.00031e2d	user_options->speed_only	0
TOP.691e2aa5.00031e2d	user_options->spin_damp	0
TOP.691e2aa5.00031e2d	user_options->status	0
TOP.691e2aa5.00031e2d	user_options->status_json	0
TOP.691e2aa5.00031e2d	user_options->status_timer	10
TOP.691e2aa5.00031e2d	user_options->stdout_flag	0
TOP.691e2aa5.00031e2d	user_options->usage	0
TOP.691e2aa5.00031e2d	user_options->username	0
TOP.691e2aa5.00031e2d	user_options->veracrypt_pim_start	485
TOP.691e2aa5.00031e2d	user_options->veracrypt_pim_stop	485
TOP.691e2aa5.00031e2d	user_options->version	0
TOP.691e2aa5.00031e2d	user_options->workload_profile	2
TOP.691e2aa5.00031e2d	user_options->brain_client	0
TOP.691e2aa5.00031e2d	user_options->brain_client_features	2
TOP.691e2aa5.00031e2d	user_options->brain_server	0
TOP.691e2aa5.00031e2d	user_options->brain_server_timer	300
TOP.691e2aa5.00031e2d	user_options->brain_port	6863
TOP.691e2aa5.00031e2d	user_options->brain_session	0
TOP.691e2aa5.00031e2d	hashes->hashfile	C:\Users\Иван\MIA_HW\Algorithms\ThirdLab\hashes.txt
TOP.691e2aa5.00031e2d	hashes->hashlist_mode	5
TOP.691e2aa5.00031e2d	hashes->hashlist_format	0
TOP.691e2aa5.00031e2d	hashes->hashes_cnt	0
TOP.691e2aa5.00031e2d	hashes->digests_cnt	5
TOP.691e2aa5.00031e2d	hashes->digests_done_pot	0
TOP.691e2aa5.00031e2d	hashes->digests_done_zero	0
TOP.691e2aa5.00031e2d	hashes->digests_done	0
TOP.691e2aa5.00031e2d	hashes->salts_cnt	5
TOP.691e2aa5.00031e2d	hashes->salts_done	0
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	START
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	mask_ctx->mask	?d?d?d?d
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	runtime_start	1763584689
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	runtime_stop	1763584689
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	hashes->digests_done_new	0
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	status-after-work	5
TOP.691e2aa5.00031e2d	SUB.691e2ab0.000f3a58	STOP
TOP.691e2aa5.00031e2d	proc_start	1763584677
TOP.691e2aa5.00031e2d	proc_stop	1763584690
TOP.691e2aa5.00031e2d	STOP
TOP.691e2b7a.0005d9e2	START
TOP.691e2b7a.0005d9e2	folder_config->cwd	C:\Users\Иван\hashcat-7.1.2
TOP.691e2b7a.0005d9e2	folder_config->install_dir	.
TOP.691e2b7a.0005d9e2	folder_config->profile_dir	.
TOP.691e2b7a.0005d9e2	folder_config->session_dir	.
TOP.691e2b7a.0005d9e2	folder_config->shared_dir	.
TOP.691e2b7a.0005d9e2	user_options->encoding_from	utf-8
TOP.691e2b7a.0005d9e2	user_options->encoding_to	utf-8
TOP.691e2b7a.0005d9e2	user_options->rule_buf_l	:
TOP.691e2b7a.0005d9e2	user_options->rule_buf_r	:
TOP.691e2b7a.0005d9e2	user_options->session	hashcat
TOP.691e2b7a.0005d9e2	user_options->separator	:
TOP.691e2b7a.0005d9e2	user_options->limit	0
TOP.691e2b7a.0005d9e2	user_options->skip	0
TOP.691e2b7a.0005d9e2	user_options->attack_mode	3
TOP.691e2b7a.0005d9e2	user_options->backend_devices_virtmulti	1
TOP.691e2b7a.0005d9e2	user_options->backend_devices_virthost	1
TOP.691e2b7a.0005d9e2	user_options->backend_devices_keepfree	0
TOP.691e2b7a.0005d9e2	user_options->benchmark	0
TOP.691e2b7a.0005d9e2	user_options->benchmark_all	0
TOP.691e2b7a.0005d9e2	user_options->benchmark_max	99999
TOP.691e2b7a.0005d9e2	user_options->benchmark_min	0
TOP.691e2b7a.0005d9e2	user_options->bitmap_max	18
TOP.691e2b7a.0005d9e2	user_options->bitmap_min	16
TOP.691e2b7a.0005d9e2	user_options->debug_mode	0
TOP.691e2b7a.0005d9e2	user_options->dynamic_x	0
TOP.691e2b7a.0005d9e2	user_options->hash_info	0
TOP.691e2b7a.0005d9e2	user_options->force	0
TOP.691e2b7a.0005d9e2	user_options->hwmon	1
TOP.691e2b7a.0005d9e2	user_options->hwmon_temp_abort	90
TOP.691e2b7a.0005d9e2	user_options->hash_mode	20
TOP.691e2b7a.0005d9e2	user_options->hex_charset	0
TOP.691e2b7a.0005d9e2	user_options->hex_salt	0
TOP.691e2b7a.0005d9e2	user_options->hex_wordlist	0
TOP.691e2b7a.0005d9e2	user_options->hook_threads	8
TOP.691e2b7a.0005d9e2	user_options->identify	0
TOP.691e2b7a.0005d9e2	user_options->increment	0
TOP.691e2b7a.0005d9e2	user_options->increment_max	256
TOP.691e2b7a.0005d9e2	user_options->increment_min	1
TOP.691e2b7a.0005d9e2	user_options->keep_guessing	0
TOP.691e2b7a.0005d9e2	user_options->kernel_accel	0
TOP.691e2b7a.0005d9e2	user_options->kernel_loops	0
TOP.691e2b7a.0005d9e2	user_options->kernel_threads	0
TOP.691e2b7a.0005d9e2	user_options->keyspace	0
TOP.691e2b7a.0005d9e2	user_options->total_candidates	0
TOP.691e2b7a.0005d9e2	user_options->left	0
TOP.691e2b7a.0005d9e2	user_options->logfile	1
TOP.691e2b7a.0005d9e2	user_options->loopback	0
TOP.691e2b7a.0005d9e2	user_options->machine_readable	0
TOP.691e2b7a.0005d9e2	user_options->markov_classic	0
TOP.691e2b7a.0005d9e2	user_options->markov	1
TOP.691e2b7a.0005d9e2	user_options->markov_inverse	0
TOP.691e2b7a.0005d9e2	user_options->markov_threshold	256
TOP.691e2b7a.0005d9e2	user_options->metal_compiler_runtime	120
TOP.691e2b7a.0005d9e2	user_options->multiply_accel	1
TOP.691e2b7a.0005d9e2	user_options->backend_info	0
TOP.691e2b7a.0005d9e2	user_options->backend_vector_width	0
TOP.691e2b7a.0005d9e2	user_options->optimized_kernel	1
TOP.691e2b7a.0005d9e2	user_options->outfile_autohex	1
TOP.691e2b7a.0005d9e2	user_options->outfile_check_timer	5
TOP.691e2b7a.0005d9e2	user_options->outfile_format	3
TOP.691e2b7a.0005d9e2	user_options->outfile_json	0
TOP.691e2b7a.0005d9e2	user_options->wordlist_autohex	1
TOP.691e2b7a.0005d9e2	user_options->potfile	1
TOP.691e2b7a.0005d9e2	user_options->progress_only	0
TOP.691e2b7a.0005d9e2	user_options->quiet	0
TOP.691e2b7a.0005d9e2	user_options->remove	0
TOP.691e2b7a.0005d9e2	user_options->remove_timer	60
TOP.691e2b7a.0005d9e2	user_options->restore	0
TOP.691e2b7a.0005d9e2	user_options->restore_enable	1
TOP.691e2b7a.0005d9e2	user_options->restore_timer	1
TOP.691e2b7a.0005d9e2	user_options->rp_files_cnt	0
TOP.691e2b7a.0005d9e2	user_options->rp_gen	0
TOP.691e2b7a.0005d9e2	user_options->rp_gen_func_max	4
TOP.691e2b7a.0005d9e2	user_options->rp_gen_func_min	1
TOP.691e2b7a.0005d9e2	user_options->rp_gen_seed	0
TOP.691e2b7a.0005d9e2	user_options->runtime	3600
TOP.691e2b7a.0005d9e2	user_options->scrypt_tmto	0
TOP.691e2b7a.0005d9e2	user_options->segment_size	33554432
TOP.691e2b7a.0005d9e2	user_options->self_test	1
TOP.691e2b7a.0005d9e2	user_options->slow_candidates	0
TOP.691e2b7a.0005d9e2	user_options->show	0
TOP.691e2b7a.0005d9e2	user_options->speed_only	0
TOP.691e2b7a.0005d9e2	user_options->spin_damp	0
TOP.691e2b7a.0005d9e2	user_options->status	0
TOP.691e2b7a.0005d9e2	user_options->status_json	0
TOP.691e2b7a.0005d9e2	user_options->status_timer	10
TOP.691e2b7a.0005d9e2	user_options->stdout_flag	0
TOP.691e2b7a.0005d9e2	user_options->usage	0
TOP.691e2b7a.0005d9e2	user_options->username	0
TOP.691e2b7a.0005d9e2	user_options->veracrypt_pim_start	485
TOP.691e2b7a.0005d9e2	user_options->veracrypt_pim_stop	485
TOP.691e2b7a.0005d9e2	user_options->version	0
TOP.691e2b7a.0005d9e2	user_options->workload_profile	2
TOP.691e2b7a.0005d9e2	user_options->brain_client	0
TOP.691e2b7a.0005d9e2	user_options->brain_client_features	2
TOP.691e2b7a.0005d9e2	user_options->brain_server	0
TOP.691e2b7a.0005d9e2	user_options->brain_server_timer	300
TOP.691e2b7a.0005d9e2	user_options->brain_port	6863
TOP.691e2b7a.0005d9e2	user_options->brain_session	0
TOP.691e2b7a.0005d9e2	hashes->hashfile	C:\Users\Иван\MIA_HW\Algorithms\ThirdLab\hashes.txt
TOP.691e2b7a.0005d9e2	hashes->hashlist_mode	5
TOP.691e2b7a.0005d9e2	hashes->hashlist_format	0
TOP.691e2b7a.0005d9e2	hashes->hashes_cnt	0
TOP.691e2b7a.0005d9e2	hashes->digests_cnt	5
TOP.691e2b7a.0005d9e2	hashes->digests_done_pot	0
TOP.691e2b7a.0005d9e2	hashes->digests_done_zero	0
TOP.691e2b7a.0005d9e2	hashes->digests_done	0
TOP.691e2b7a.0005d9e2	hashes->salts_cnt	5
TOP.691e2b7a.0005d9e2	hashes->salts_done	0
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	START
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	mask_ctx->mask	?d?d?d?d?d
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	runtime_start	1763584892
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	runtime_stop	1763584892
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	hashes->digests_done_new	0
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	status-after-work	5
TOP.691e2b7a.0005d9e2	SUB.691e2b7b.000a428b	STOP
TOP.691e2b7a.0005d9e2	proc_start	1763584890
TOP.691e2b7a.0005d9e2	proc_stop	1763584893
TOP.691e2b7a.0005d9e2	STOP
TOP.691e2bcb.0007cb5f	START
TOP.691e2bcb.0007cb5f	folder_config->cwd	C:\Users\Иван\hashcat-7.1.2
TOP.691e2bcb.0007cb5f	folder_config->install_dir	.
TOP.691e2bcb.0007cb5f	folder_config->profile_dir	.
TOP.691e2bcb.0007cb5f	folder_config->session_dir	.
TOP.691e2bcb.0007cb5f	folder_config->shared_dir	.
TOP.691e2bcb.0007cb5f	user_options->encoding_from	utf-8
TOP.691e2bcb.0007cb5f	user_options->encoding_to	utf-8
TOP.691e2bcb.0007cb5f	user_options->rule_buf_l	:
